X,Y,NUME,JUDET,JUDET AUTO,POPULATIE (in 2002),REGIUNE
23.57,46.07,Alba Iulia,Alba,AB,65091,Centru
23.37,45.84,Cugir,Alba,AB,28780,Centru
23.72,46.31,Aiud,Alba,AB,24619,Centru
23.57,45.96,Sebes,Alba,AB,23227,Centru
23.92,46.18,Blaj,Alba,AB,15714,Centru
23.85,46.39,Ocna Mures,Alba,AB,11009,Centru
23.68,46.21,Teius,Alba,AB,6206,Centru
23.05,46.37,Campeni,Alba,AB,5704,Centru
23.07,46.27,Abrud,Alba,AB,4820,Centru
23.22,46.11,Zlatna,Alba,AB,4446,Centru
23.56,45.92,Petresti,Alba,AB,4120,Centru
23.81,46.4,Unirea,Alba,AB,3924,Centru
23.28,46.38,Baia de Aries,Alba,AB,3521,Centru
23.67,46.01,Daia Romana,Alba,AB,3080,Centru
23.49,45.99,Vintu de Jos,Alba,AB,3029,Centru
23.35,45.89,Vinerea,Alba,AB,2440,Centru
23.73,46.16,Mihalt,Alba,AB,2392,Centru
23.69,46.32,Aiudul de Sus,Alba,AB,2276,Centru
23.84,46.19,Bucerdea Granoasa,Alba,AB,2198,Centru
23.58,46.1,Barabant,Alba,AB,2145,Centru
23.91,46.43,Lunca Muresului,Alba,AB,2105,Centru
23.9,46.17,Izvoarele,Alba,AB,2078,Centru
24.17,46.25,Cetatea de Balta,Alba,AB,2031,Centru
23.84,46.17,Craciunelu de Jos,Alba,AB,2028,Centru
23.62,46.18,Galda de Jos,Alba,AB,1885,Centru
23.54,46.13,Sard,Alba,AB,1861,Centru
24.05,46.13,Valea Lunga,Alba,AB,1858,Centru
23.59,46.02,Oarda,Alba,AB,1830,Centru
23.89,46.16,Tiur,Alba,AB,1765,Centru
23.95,46.2,Sancel,Alba,AB,1745,Centru
23.48,45.9,Pianu de Sus,Alba,AB,1706,Centru
23.1,46.38,Bistra,Alba,AB,1597,Centru
23.92,46.17,Veza,Alba,AB,1568,Centru
23.13,46.31,Rosia Montana,Alba,AB,1556,Centru
23.87,46.41,Razboieni-Cetate,Alba,AB,1508,Centru
23.58,45.88,Sasciori,Alba,AB,1505,Centru
23.76,46.31,Ciumbrud,Alba,AB,1504,Centru
23.56,45.99,Lancram,Alba,AB,1487,Centru
24.06,46.25,Sanmiclaus,Alba,AB,1472,Centru
23.72,45.86,Garbova,Alba,AB,1460,Centru
23.64,46.22,Stremt,Alba,AB,1439,Centru
23.56,46.1,Micesti,Alba,AB,1420,Centru
23.88,46.39,Uioara de Sus,Alba,AB,1415,Centru
24,46.23,Biia,Alba,AB,1414,Centru
23.67,45.94,Cut,Alba,AB,1391,Centru
23.06,46.28,Abrud-Sat,Alba,AB,1355,Centru
23.84,46.37,Uioara de Jos,Alba,AB,1345,Centru
23.34,45.94,Sibot,Alba,AB,1344,Centru
23.63,45.78,Sugag,Alba,AB,1317,Centru
23.4,45.91,Salistea,Alba,AB,1272,Centru
24.11,46.22,Jidvei,Alba,AB,1265,Centru
23.5,46.16,Telna,Alba,AB,1222,Centru
23.66,45.89,Calnic,Alba,AB,1209,Centru
23.57,46.18,Cricau,Alba,AB,1191,Centru
23.52,46.15,Ighiu,Alba,AB,1172,Centru
23.3,46.1,Fenes,Alba,AB,1163,Centru
23.65,46.14,Santimbru,Alba,AB,1150,Centru
23.49,45.94,Pianu de Jos,Alba,AB,1142,Centru
23.82,46.29,Lopadea Noua,Alba,AB,1132,Centru
24.06,46.19,Balcaciu,Alba,AB,1103,Centru
24.01,46.06,Cenade,Alba,AB,1099,Centru
23.64,45.77,Dobra,Alba,AB,1096,Centru
23.57,45.89,Sebesel,Alba,AB,1094,Centru
23.53,46.16,Bucerdea Vanoasa,Alba,AB,1091,Centru
23.48,46.15,Ighiel,Alba,AB,1055,Centru
24.14,46.27,Veseus,Alba,AB,1047,Centru
23.92,46.1,Cergau Mare,Alba,AB,1037,Centru
24.14,46.23,Feisa,Alba,AB,1026,Centru
23.75,46.29,Sancrai,Alba,AB,1023,Centru
24.02,46.22,Sona,Alba,AB,979,Centru
